AAPL,MSFT,IBM,INTC,CSCO,CRM,ORCL,XOM,CVX,JPM,GS,AXP,V,JNJ,PFE,MRK,UNH,KO,PG,WMT,WBA,HD,MCD,NKE,DIS,BA,CAT,MMM,HON,VZ
287614383893.51544,239523326241.97614,188648395208.61588,112332718262.6745,112012645710.7752,15466639251.948256,68178496240.19141,324267575382.09436,191035213325.46216,173119105134.87402,89586935061.79437,56233002714.76596,63153347049.61593,173747592280.51584,153938565936.36084,109681311898.83131,34865558315.028114,139442798329.75897,191461466639.5536,194645505793.69397,30520196210.272636,54224775586.22426,77000687263.58348,30931762348.593243,71029540985.04816,38031048100.995544,34244986549.731457,54672425189.93703,28557201558.508648,100066976614.69542
283575926078.3271,238775026521.33572,187708337657.75128,113106714918.76056,114208233354.89919,15240892818.428198,67882467074.444435,331544924455.4992,189772715445.2923,170341561562.21814,89572271135.313,57119274117.09334,63274393643.763725,176962095171.67682,155690219569.55798,111537874014.77481,35154881586.62137,144345437882.30167,190009744187.18787,189918582468.21667,31083765538.396915,54030035578.205986,77040861792.66727,31607700458.575077,68847063362.44444,37210698957.30818,33440775187.54667,53959082526.450905,28782597688.656956,100643409312.00917
286006386258.7121,231432174447.4075,181254760866.36264,113306612232.42662,113697872292.32622,15310401193.976093,68238535155.984436,331546316837.89343,192158770243.43494,171030601538.12485,90004648701.01158,56171813623.46933,63164212049.4876,177316568063.97693,157230575356.39804,110570318978.62288,35412304603.387695,144161926889.4392,188966243389.62183,191717674293.71786,30263129157.776978,53408140841.62317,74668682953.14412,30170264386.227707,68045325449.884514,37912785158.86015,33382742937.18819,54200507366.59315,29209741227.213554,102083224911.77972
286428505862.21985,238814712049.4411,181408896739.01572,112045921878.86412,113001164417.44919,15018808450.121134,67351948413.21723,328966267668.1172,194541682982.82068,176316964818.03076,87796322181.02415,56547022636.98431,62051166861.79158,178320324918.23776,155652071501.1491,106507090824.38023,35865898667.10207,143339397598.95914,186551573804.00275,189277941556.63687,30006450183.155083,53722428790.16148,74410487559.50554,30339566936.309494,68618038054.31722,39012520711.587,33298222037.822163,52896604691.13654,29610952861.04183,101581161433.93832
293314174555.53876,240898258695.2923,180996106223.07257,112779078866.824,116838157061.79288,15392790925.557045,67258356825.43165,329239986921.06006,197478343229.65793,173214096816.24646,88067376750.56178,56421963360.61056,62581654785.08295,176096529535.80685,149596984489.80682,102316123439.6145,35229164153.06995,142847481346.47333,185141280844.27438,193497101760.72513,30409577223.108807,53296247403.33127,74954573353.17691,30095292228.544678,68335876889.754974,39211966989.612465,33714398634.165222,52715061855.794975,29992778002.595074,100201143966.40227
293741958639.10986,254601278713.89444,181492017200.31314,115227934237.40848,117189790868.56583,15476109277.03354,67075132556.80631,327789346972.70135,195702915454.4592,174372162253.5171,86737138538.52484,57095211663.79489,63982165142.46208,176908026101.98666,148114423379.28513,103669312187.92784,35056997568.63737,145032332121.59546,178606845816.92224,192543833686.08975,29648574844.02469,52622858116.58827,76968385453.88635,30577457843.530533,67517573101.48874,38103954480.56382,32242104579.815567,52362847059.16436,30820024485.409496,100671261322.81161
290964727285.1001,256275043199.68307,177500532799.27045,114722878741.11475,117536435831.6634,15430612339.501268,67544077522.2449,329083014944.6498,197590698603.2689,171921652406.31372,87814117037.3871,58848821252.18367,62890007035.89163,174656813796.46735,151606358741.52405,103632527088.54118,35770110916.599754,144467504014.2613,183454953018.5102,192677488748.6994,29762502735.89925,53557544960.08733,76299400427.45357,30020987174.92245,67097126666.459145,38550029754.53861,31613353682.0395,53076936542.70135,30580357746.929184,101909409195.21188
278161632890.4003,250800823557.3806,173526213711.61908,113380035702.94868,118135627726.66225,15370777187.354944,67192701774.72484,327700695020.72314,198236038993.70868,168653940968.55023,88582888329.62836,59391746311.201744,63462010295.97282,175999150731.78607,151762388659.74255,108189573448.84187,35677528670.54483,144197592235.14014,180708946198.1664,190249407751.85242,29326293967.50556,53180359280.179726,76113993686.9253,30201477577.859756,67327991447.325615,38055647551.28255,32237250965.468723,53850749976.98567,30489258427.632103,101056345327.56772
282295315164.64294,251160027738.70032,170440292731.1213,113365322806.7787,118728981347.01653,15181683603.184736,67200373355.49444,319747850124.5883,201653122164.65265,172559097232.10623,88018948752.49464,59544499750.42446,60713048830.86263,173171386409.29547,150094382468.813,105988024200.25705,36007186800.55159,148360033363.2032,176767565684.38937,188419876190.02515,29449763165.837208,54116525290.340256,74215823713.23232,30325518418.951824,69766208558.51263,36935025332.042305,31750878536.89896,53533208018.22479,30278647553.244755,101901017353.95811
284600143962.2194,240658777333.4058,172193111154.69244,112523004762.92836,121166491020.50822,15056076106.682516,66582041969.587395,322477570909.0815,203476879357.6147,173808490044.83246,85576898948.86792,59898314164.22229,59787594881.37393,173833993251.36316,145117109960.29108,107161375247.81827,35522153331.462524,145928264489.2442,179271662629.36884,189032435854.35178,29262322408.51241,54929997449.9491,73619020735.57338,30323408856.358463,70129635108.09341,36656392741.09924,32159205724.051334,53136822514.516174,30119817599.189697,103321351694.0054
279810461419.9695,227853911552.18744,176461056583.30466,116782508165.51277,120329275865.13727,14702028955.177092,66251973082.58139,320879661328.5631,202781404536.59766,170057969942.56058,86295704197.88675,60214697197.1518,58416677981.79217,175556280617.8646,150831796906.76498,107694023066.70998,35315894622.98235,145890525443.92303,181337605725.78665,185364302791.81274,29363984192.838573,54726268479.49993,76376521643.58037,30208146493.420425,72300508743.50516,36047510021.26751,32608059894.436836,53531310163.4939,29814476041.90855,103318278061.17535
287431652460.4546,226923867697.70844,172557802750.15665,116644484287.27907,118614373571.09882,14659027791.810787,66114527393.4785,312239991387.0747,198515426511.55457,171544351269.80508,85531330508.12495,56743556432.09655,59622765140.265396,176173016670.63312,147950871535.2398,105007228309.89188,35726533649.46085,146807720082.13043,189178895813.73126,186522711357.4354,29539758360.52589,54654050452.17741,77519642457.31807,30537537840.669094,73843612112.55397,35893020564.268394,32522069845.812523,53184159593.55,30094070422.739487,104825694027.20642
285630805412.6702,225546611041.0854,173732188553.2803,116133269447.15872,120459381015.26944,14282081759.711704,65430905193.49948,308861446555.38324,192843963911.60864,168446626837.914,84309827438.60112,56404451483.206795,61150540364.289345,175515083796.96924,144357957144.0686,105174177056.30067,36227783751.57857,145090926231.77896,185441500134.72583,187914042324.8604,29487380363.906178,55017733237.88148,77342573463.72243,30892754047.981445,72176665632.55313,36105639712.19718,32554189854.847145,52197955884.68489,29552521033.405384,105317648565.27037
284533721074.27625,221292668924.3318,173865064528.68494,117943397473.722,116142993105.28459,14066054467.346767,64724760190.56731,316586981764.41266,193939395285.9229,170887954227.66766,82890202931.26253,55038786839.57687,61876170379.774925,175623171473.5846,145692672117.9163,105058215133.878,36298244020.84621,145680739269.7567,187749739574.78662,189764921425.62097,28936836204.74401,53818077096.81535,78721816602.07343,31502092039.395893,70669908663.18263,35000849329.8835,32740572172.039833,53177670789.78482,30184013600.950066,105583338875.81651
283390241717.75745,217982603703.71286,174248031758.57388,117256058101.97899,114526628087.39442,14465144258.88505,66042582895.816666,322432264894.8965,192058854797.07513,173489791675.79074,83819297675.02556,55529892466.69125,63489997608.71522,177103025737.40463,147520785383.99396,106673020900.44572,36397565722.94388,142479032473.86328,187552606992.8146,188576966199.32648,28548068808.232723,54764914641.74886,81165061212.61998,32182897127.294,70965268422.6986,36189547190.01829,32873492911.20051,53465425306.479385,29796993823.836525,105693472484.08989
284659068515.0883,212939942957.5242,174459274322.40762,116983960029.1905,118053725369.63167,14651636810.321896,65987538101.24533,323543747005.13904,192622584905.84335,172636330738.54156,82510490038.3605,55327868283.22718,62699149245.294044,173964194374.83807,148572688771.13367,107697217111.48245,35363518384.08892,142675345014.6443,190504607688.7858,190936573220.3981,28987047695.517242,54799618653.73099,79415441605.79948,31410775403.126793,71362054987.2316,36665332567.33216,33648181732.657627,54547651809.10467,29764217341.689384,103877188606.90993
283794483189.35364,215397408716.70743,174295999314.15494,115893295175.39966,118634638094.70544,14583261186.018442,65460596004.04348,324909728688.85846,192080647535.59875,173241557550.47678,82998026788.61824,54030952771.309326,62272192741.016304,177427203123.67722,144530097340.32135,103295907288.66513,34382848251.563255,143148563556.85675,189945545539.20416,190624351785.7423,29473712000.059357,53391679847.938286,79753489962.21114,32210375548.142296,69779697613.41492,36575881116.86095,33334145319.18606,53751093010.56165,29667651396.054165,105276436929.58855
294690982673.3988,215131461423.62683,179199832641.09125,115898413795.91122,121963330199.05698,14591209314.463575,65529391040.55616,326473637252.22235,200172158099.49326,175723565208.4974,82223313900.77501,55148711271.20693,62010720287.33024,176097927315.29062,146909115542.87003,103737539811.03163,34558680853.17593,143567480178.70593,190488103524.85556,191509363730.7775,28810592799.476547,53830369624.16766,77909453799.87099,31226641056.980953,69716955614.45912,36823925793.65476,33071617322.06304,54578331367.30759,29233854713.294888,104469061875.23189
291706185196.9382,216248629268.99796,179935777877.98486,114168766540.09842,123222554651.71272,14626122881.796877,64101004286.89169,316045353240.12665,200130984030.7216,174662922772.19244,82255256735.08086,55108501962.9432,62441477206.02963,178300909716.86224,143168196225.40317,101672384708.15524,34034704011.087982,144488161733.2379,194170476482.00345,190477301866.43137,28002775002.70861,53009835973.39389,76451332564.6266,30834627956.8011,69203554040.15399,37027195485.962875,33021407931.232536,55570169002.87898,29053565380.26523,103192049333.77022
294862757480.6448,210232180690.13535,180905214660.20834,114386200146.71391,122740397000.91348,14927346410.56008,63704983326.40375,326495570388.6808,199558971820.519,170321894514.2549,82502016907.22308,53900455079.47233,61717566552.93763,179061761541.18723,144584754507.13358,100875332823.07568,34580319074.18489,147029521762.10056,198366977009.9774,191597055702.03482,28578852041.07292,52158401647.424934,75884436407.56079,30299005802.345894,69404478447.68805,36777728930.39422,33048509439.87651,57301118491.40299,29052399237.6317,103466931277.76468
294013022722.902,212240958232.78558,180955041513.08575,115124658213.73236,124795433869.81718,15238662501.600397,64002781287.467354,329266893627.48676,196727016987.64294,169995536832.4434,83840419446.06982,54899413919.80702,62163040891.37656,180989254991.74402,145730077673.31583,103775846033.44771,34741583568.53307,146522166688.06137,198428854427.57248,185152547643.3389,28801914692.83775,50458603103.932144,73228285640.7463,30517312968.464153,70029162182.8713,36134878898.73914,32797135170.49003,58504992083.97721,28940262640.134266,105782950366.13225
294466589388.7686,215754551717.7956,185004177498.76248,115308665157.1449,122546733311.90073,15217183633.579378,64041754335.67029,321802891733.24036,196293293989.64102,167665518119.09677,85118688446.50333,54951389018.26115,62010348967.63744,180380933440.11462,146046533322.2621,105423942119.33493,34244355960.68058,144705932571.09528,201251158365.81583,184551888048.75824,28386144464.435375,50901808293.770256,73952905703.75906,29629218470.304676,70307730479.135,36874757599.14548,33109727443.943108,58930261549.889534,28532497901.257145,105782650295.95132
293185620575.0488,214959625418.2076,187004771133.30893,117715433935.47385,125800917277.5159,15456013899.730766,64028413713.677895,323535986280.67346,198398675297.1815,168123607006.44873,85326293438.80411,55882222312.19259,62116756579.19294,178270391122.74893,144468525477.91873,107052736191.58202,34281625348.996002,145662846283.0766,202326580063.92416,184062550082.29895,28747574572.159107,51302067026.4948,72182282603.70927,30408739058.54866,69623740114.90288,35865813894.60067,32681446706.08806,57679909462.88878,28626464257.215057,105073969052.87779
291760429532.2127,219424138003.77283,187525862664.16833,118079628655.12743,126240015244.49617,15553511646.093168,62576965771.658806,321517667417.6846,193101069151.87247,168301606311.67883,85345993728.1909,57033016313.07265,63653301520.983185,178547377347.64215,142742694842.66525,108304819611.08467,34055818364.579567,145916689956.6113,204488739543.29608,183219944935.29257,29114148388.360435,51841671660.92831,70946143406.10605,30910975708.91697,70541440034.26678,36164127175.76366,32420963143.162666,56670771886.76729,28525584594.224125,105359789570.6549
286933709460.94763,222897891938.9287,183908270007.4837,117545346214.56775,126047188304.16345,15985017068.678305,61747099228.89911,328866957815.6703,193832738847.51587,169625942493.91547,85519053577.52682,57449224974.15065,63563029411.04306,181842871373.79553,141262193058.22232,110896443998.04951,33789478262.870815,146044849623.1797,198801540709.2539,184545037962.52026,29692473734.844345,51984870929.92546,70859927741.22415,30227264493.8334,70206310924.14502,35247587810.78649,32099272322.80048,56765986464.396,29036335474.390507,108275646280.98479
284426686172.36694,231138780325.28656,184291876185.96454,117131072863.21095,126480830513.46822,15943502789.773632,62009561723.474434,326280991510.88837,190775477326.4545,164876864226.40085,86375608781.53252,57004092504.84883,62955638377.586105,181441714570.98233,143465134904.10883,111309235959.1637,33537513502.59415,148658039200.1114,203245573951.5179,185902025847.13065,30079985477.80239,52791171076.462555,72644187953.98424,30544251117.459827,70975042086.05647,35854676834.94687,31705127672.475494,57305114359.44679,28648063616.506535,106788387785.68106
292335848907.0085,236221424869.40164,187791510766.59024,116538108214.85129,123750905899.4679,15843375744.775095,62260950791.89343,326332560307.296,193956514779.39316,164055161471.17114,86794381798.81114,55760726666.90476,63605513967.90733,181036242545.97568,141109705918.34494,110772255864.10744,33533577845.838215,148220134850.48972,208222633104.71475,185953794810.60083,30004589821.691216,51865586808.55034,71503734161.37299,30364346933.17276,70016985173.72832,37051627131.37364,31794850592.25408,58384874295.57943,28748321691.54043,106383206524.75075
292260045902.8575,236771164024.96176,191739977400.84338,112556187754.39934,119578969179.40627,15688791644.732876,62444935546.72586,329499455862.00964,195426707096.9057,163226749832.5803,88066599396.53432,56886019564.08532,63912313685.65951,183010204095.48404,141842253367.45023,109531132072.40662,33961972827.41914,148547313679.98203,206227406743.81918,189336386540.75476,29126358230.954502,51343985459.364395,70038840520.5825,30143385786.37639,69683452065.74414,36134205067.94894,31480109594.59606,57299998798.672646,29630497334.78087,108079500508.93265
290382335929.41376,235328935374.98395,187958147776.79276,109580655207.29575,119289572343.11801,15455941230.934286,62555121197.37757,320680955869.0352,193827276951.09802,164045132938.36038,88404510553.02335,57266266173.39322,62416100966.16492,184618874337.83466,139466983502.69788,110958405212.31882,34025757232.845776,145914248082.31567,203140524470.1709,190223574872.56482,29400478015.063198,51491683577.35548,72432342534.19505,30685733577.640957,69366354275.04881,36879671401.55027,32607357310.380585,59018708449.31364,29251604965.995888,106440516669.9788
299143881071.9843,230324780825.014,183991533635.62195,109070763740.70714,120026974579.31104,15403443440.425882,62262572020.45104,317192999033.43195,192453518095.40192,161782235131.22073,91285423327.95761,57486442814.0356,63584448667.56582,182772551112.61646,138990487892.19095,109338681305.14342,32778343076.96842,143453309764.02567,194700913205.81952,185402850671.18024,29013598256.595295,52366893879.143456,72552706730.98726,31367178075.314934,69928587011.35976,37630115315.092926,32292893467.67415,59256949653.58633,29547817592.535873,105324662616.29669
302421777185.20795,233843223097.90466,182269564442.1055,107601459655.67554,117733069976.2645,15387791905.088692,62671757078.11342,313344392224.22876,192949470461.37726,163935992239.82666,91775564527.54045,59149449054.575966,65172228716.54151,179767222322.01566,143807901240.40363,108204066895.7271,33402862299.787743,143918059320.3759,192091764324.50104,181885843976.95703,29010172614.82775,51750188306.244606,74117063753.8275,32153911734.861267,68891556181.12384,38004505922.38842,32084777179.785355,58328009750.19896,29847103537.2916,104906977739.53398
312383381450.7404,231802900249.48398,184536153202.269,108117343233.17534,119253715443.92303,15273898019.304771,62798755219.882164,313090783621.8057,191349706966.64023,166295301527.6911,92268382546.94255,59612221669.95823,67027403694.09874,182966048767.79034,142545577026.04147,109075206174.0116,33200031043.92816,144283312210.33652,189015459220.6626,185708277976.6995,29194698695.41978,51839061333.284424,75964591326.52087,30766838329.949955,66361597741.94564,38728340434.300255,32278370823.433674,58332274945.766205,29418730277.74757,104535162985.7147
323692668223.084,236499746838.45667,184602259435.17877,107791039762.67758,118508802392.375,14857796780.70697,63137856838.63264,317580797441.37006,188081838208.8115,164573649306.78824,90186442711.85231,58160709171.12167,66982127926.99788,177254470946.40042,144217865110.16925,110727076450.45569,33189581737.78995,139830651609.927,184805594953.29297,188599080024.88245,28253635503.637184,51856002902.65691,74212030583.73569,31167379343.998573,65708579959.49127,39129845476.83483,32717725570.19145,59900944610.524445,29392494920.948856,104650761382.247
313125514141.59985,242916146204.16904,182306581755.30014,107310145195.79044,118511454670.10019,14576489454.346218,63441692699.40518,322522386615.3632,189438786075.79843,160184840354.75842,89671389103.57362,58831180099.065,64528216587.428314,174454877490.0144,146583801471.21494,111244888183.74974,33501476960.01131,143802017257.89984,185910146596.7782,190143483268.62796,29273714246.107365,51937611730.743866,73140194285.94618,31337922359.159668,66463291981.92923,38795135156.0938,32333205766.899746,61899600609.23508,29543373746.925278,103478612274.05997
317815251343.9881,242184842418.50217,181444849611.1266,108601610184.12949,116182776687.83165,14652035776.40277,64932146315.72715,324745583938.273,189161126182.8287,159281101434.4363,88788478564.76865,58282420127.12664,64085174646.476036,176573175717.25543,141102707395.15546,113044384113.7565,33415447219.65994,144864003700.34256,181557100777.4502,193059938302.7273,29757932054.18303,52605387358.80608,71099755446.8849,31727517695.06458,67155176358.691666,37653687291.59065,32475166117.895298,61807514297.76552,29762432249.341816,103428317838.45206
318461096694.0387,249877776336.2909,184332360045.4655,104522298853.53387,115801441149.05342,14635294208.12502,63694304514.14451,324980721720.70526,192747150326.45102,156763298305.03662,88962999786.93564,56986317569.226906,63317211301.767075,179965139137.63223,139507426607.016,113878593961.11386,32608206606.66622,148744910557.25455,183322353396.3234,192528949752.2309,29982877463.04346,52039722925.89343,72984504466.00989,31435642408.865368,67064647202.01087,37415906787.31025,32330275958.57748,62058147053.41867,29868686588.721752,103934822162.17354
317178341881.0292,252083269973.87808,182939169253.00674,108443185467.80544,113200177938.27258,14872519482.208202,64774483565.79698,320380457985.9141,198584917570.50687,160343288470.1983,89982035288.32092,56877950181.74631,63130202578.11376,179119268224.97763,140652323091.18396,116801435718.03737,32833668552.107327,147052574597.75607,185796097430.38226,194432127017.36432,30227287392.499596,52595732955.669525,72737716176.96938,30816174606.83176,66156794490.6206,36348847710.433815,32600479432.721287,61473720782.605606,29730189746.073204,100274819140.18028
308411453566.51556,257517455017.9785,181022557111.01498,109433770845.32811,111113860693.35948,15135092859.10985,64708944950.716286,321830409023.4614,204536930144.72604,165357105939.27896,89203949450.73709,56056696575.13001,62827169384.680984,180079678949.5658,140332674494.6812,115456183874.92818,33665147290.352585,147025292486.89267,193241877460.42648,194397961843.7323,30876421638.90204,52931089999.85047,74265517150.98972,30355082101.031307,65329694079.440956,36854117762.74791,33238152839.868385,61054413297.067276,29310280604.08586,98714059263.50623
299272270982.0872,246369418678.71216,181179725662.7889,111591418218.17456,111566150663.39539,14716597869.816721,64606748108.16974,320940061128.0059,209753693354.53653,161341238732.87906,88358911269.15038,57901732499.689384,63446995206.7162,181133107573.42117,140653571713.1459,115855351391.45029,34139448142.301598,145645206100.205,195571321622.17267,191115473545.0102,30955197472.399895,53157177132.19577,73431896826.00687,30310398044.64378,64841035854.75755,36235043694.16855,33164129158.262356,59478258560.813225,29454580545.510933,97503197941.36743
303114953440.7504,239443573359.6288,179661096054.47928,110881901627.93314,114342654963.91661,14790415097.733992,64489098054.12446,323428475245.40295,203767229009.91888,161761664969.45737,90774294897.9267,57859445601.881,63590978076.808975,182110061393.63437,143177582871.1554,110861597435.14523,33373501375.577965,146319400246.60672,192111616723.96738,193900413205.9809,30784914039.046535,52280205944.94796,71705049930.15022,28771931660.305733,64855048789.58049,36282957022.38722,33056809711.407047,60225330914.10933,29885401638.317482,97439945800.54051
290296051515.1992,242519548571.69235,181019620197.99878,111691695271.91013,116450788803.35834,14596139368.44201,65984792526.35451,318396075899.3326,205513399548.29965,157324985089.24036,89086565514.45163,59440118467.10873,63341461591.806656,183767627054.08392,143695722288.72064,110516601345.49983,34139476286.329872,146088272894.45572,185158197340.96582,191893153080.03513,30945461114.32765,52639786228.88755,69681550315.77539,28446910766.57798,64456788065.60348,36205323685.31704,32466964122.24081,59204447408.61645,29643887801.094738,98408501247.04396
295039951646.132,241393912462.19833,179961265465.19104,112185608877.9077,115227678706.75006,14418750921.840284,65238869384.79866,315307262588.8494,202240396236.87057,158512447953.8558,89775944689.9645,57237600754.405174,63447407906.27042,182697241228.44598,144490261958.60287,110389448721.60495,33482960260.51341,143872829215.45126,184983104214.8211,193995650064.53708,30054229213.593433,52956348108.64405,71595324399.90837,28441777472.14261,65444391902.07541,35895522688.24902,32545628357.11633,57267140298.85855,28871336030.683018,99535698083.8609
289527963224.097,238675392941.91168,176511222812.54956,110153093814.99585,115239722936.63594,14326138621.521706,65502479545.04702,317779290593.3492,202919619243.76562,159884967542.64508,91596876533.1621,55842721409.9059,63462866715.51772,185054089976.53903,147942840946.6168,107173616397.62532,33425560260.69112,146809257926.00418,186447591200.58838,194154987917.49496,29962416128.805347,52881819299.160774,72206454568.8356,28389277876.283424,65677347220.40464,36157724471.776245,32338878632.970123,57583718696.660034,29886599841.75611,97631386078.59612
291710523565.70435,234530645509.93387,178090731415.4378,110548694148.88501,116939382315.66336,14567873119.49173,65611636559.54911,323536369717.9489,196775345230.18295,165139417851.6752,91679255339.37537,56986407199.80448,62113425562.03143,182359485530.44638,147933035724.55685,107216916453.95508,33659214316.26654,149111836249.24054,180071574108.89877,196018426039.6667,29954574431.735394,52900256786.921555,70296249157.04121,28732109105.701065,62996773479.43665,36819568149.611626,31736408153.992275,57426003621.776855,29852573986.94218,99052385036.88953
291038924357.4921,231030422873.83002,176956467788.3019,112861169393.73717,118173067298.90645,14528546969.691435,65394126103.82594,315400341294.0599,197837162109.29163,160243167478.3172,92281413338.91757,57001185880.58203,65021972461.07126,179166138322.35532,147176849649.32315,111139999964.09656,34326942411.69682,147795063921.81873,180815479259.67255,195621469776.38495,30045838166.89063,52661590862.38041,70440307751.57404,27973208418.797035,63541393532.414536,37324726712.83328,31794562641.71291,55670226320.29708,30196137239.21572,99547243518.16844
287409589876.2211,229883713448.68195,173473983256.07117,111376599184.43645,117374471070.99289,14773518941.337055,64890415837.59821,318817023022.2447,196542804983.26483,161563315790.71622,91597220061.07602,57878070308.883804,64391015291.667305,175041314008.4186,142638320310.03815,109854435825.28432,33752310054.1785,148725207612.39966,179236708198.83432,200529776526.1828,29394876028.05248,52895257109.726105,69135947062.87566,27835422333.20735,64078132277.067024,35784707877.653534,32079520933.433224,57378535474.41916,30029325549.83619,99910226307.60512
293692937616.7528,229433468725.65997,172448725625.887,107969975309.65125,118776577398.29533,14771850292.862629,64140633622.34154,319539228261.66016,195204760259.19095,160537424859.60477,91995246715.26509,56127194014.414696,65687420826.7307,171649794702.5918,140545574395.7156,114025601053.8362,34380059037.82415,148998903047.0176,176195561499.57266,198649293814.6504,29439420028.524467,53030805380.89609,69330675242.17282,27943611333.9268,64173803323.38235,34999527692.86954,31979836847.04612,58100167929.072495,29558811852.81244,99766534357.64023
