txn_id,account_id,merchant_id,txn_date,amount,description
T0002637,A00039,M005,27-Feb-2025,-214.90,PURCHASE 980469
T0000588,A00029,M016,05/24/2025,-225.04,PURCHASE 827186
T0000420,A00042,M015,17-Nov-2024,-318.82,PURCHASE 321321
T0002634,A00016,M004,2025-02-28,-245.71,PURCHASE 522375
T0001714,A00040,M014,04/07/2025,-407.15,  PURCHASE 896567  
T0002585,A00047,M031,01-Mar-2025,$-361.64,  PURCHASE 183831  
T0003110,A00018,M014,16-Jun-2024,$-274.77,PURCHASE 501360
T0001717,A00002,M003,2024-12-30,-365.37,  PURCHASE 331389  
T0001950,A00080,M030,09-Apr-2025,$-208.56,  PURCHASE 159751  
T0001470,A00053,M021,20-Apr-2025,(372.88),  PURCHASE 408834  
T0001559,A00020,M011,01/13/2024,(68.66),PURCHASE 729473
T0000213,A00043,M021,2024-02-06,-3.12,PURCHASE 714549
T0000596,A00035,,2024-06-15,$-91.37,PURCHASE 352009
T0001347,A00020,M010,09-Sep-2024,$-148.93,PURCHASE 835571
T0000970,A00080,M013,02/13/24,-59.67,PURCHASE 861512
T0001277,A00027,M031,05/10/24,-259.61,PURCHASE 258100
T0002558,A00082,M009,03/20/2024,,PURCHASE 372061
T0000537,A00030,M019,2025-01-05,-45.51,PURCHASE 276394
T0000412,A00053,M022,09/09/2024,-42.33,  PURCHASE 211222  
T0002020,A00026,M007,04/27/2024,-244.49,PURCHASE 712057
T0001230,A00072,M004,21-Feb-2024,-143.64,PURCHASE 819727
T0000962,A00045,M012,07/31/2024,$-171.93,PURCHASE 125455
T0001292,A00004,M023,16-Apr-2025,-243.52,PURCHASE 768364
T0002442,A00045,M001,23-May-2024,-388.96,PURCHASE 230857
T0002012,A00040,M008,2025-05-03,-10.68,PURCHASE 268703
T0002467,A00073,M020,2024-01-25,$-405.40,PURCHASE 955324
T0002261,A00038,M029,11/12/2024,-29.07,PURCHASE 756342
T0002351,A00023,M031,04/23/2025,"$3,197.70",  PAYROLL DEP 144366  
T0001375,A00083,M023,14-Dec-2024,$-38.44,PURCHASE 508800
T0002184,A00034,M007,09/30/24,-123.96,PURCHASE 694125
T0001306,A00060,M020,2024-12-30,,PURCHASE 551143
T0000196,A00065,M028,01/11/2024,-404.99,PURCHASE 693868
T0001119,A00075,M027,2025-06-22,-75.09,PURCHASE 309905
T0001581,A00063,M020,07/09/2024,-153.07,PURCHASE 832538
T0000705,A00084,M014,2025-04-05,$(123.63),PURCHASE 634117
T0001667,A00054,M006,2024-03-01,$-326.18,PURCHASE 680796
T0000632,A00025,M020,03/08/24,-91.48,PURCHASE 803956
T0001092,A00072,M030,03/14/2025,-417.69,PURCHASE 524762
T0003125,A00009,M004,17-Jul-2024,$-327.61,PURCHASE 861426
T0001572,A00035,M030,15-Oct-2024,$(140.35),PURCHASE 724157
T0000808,A00082,M023,2024-12-29,$-364.64,PURCHASE 731160
T0000847,A00008,M023,08/21/24,$-295.79,PURCHASE 582595
T0001654,A00006,M016,01/28/2024,-18.29,PURCHASE 521312
T0002281,A00031,M007,2024-08-08,-357.65,PURCHASE 697604
T0002978,A00089,M009,,-198.20,PURCHASE 462310
T0000766,A00048,M031,16-Jan-2025,"$3,871.80",PAYROLL DEP 454180
T0001618,A00053,M011,03/31/25,(133.89),PURCHASE 818789
T0000094,A00064,M003,10-Sep-2024,$-106.49,PURCHASE 988217
T0001775,A00021,M026,19-May-2024,$-75.04,PURCHASE 481136
T0002133,A00073,M010,06/24/25,-202.54,PURCHASE 173301
T0003200,A00017,M023,2025-01-27,(293.12),PURCHASE 998972
T0002080,A00056,M017,07/25/2024,(251.16),  PURCHASE 884684  
T0001937,A00088,M007,2024-04-12, -188.38 ,PURCHASE 393033
T0001819,A00036,M017,04/07/25,$-68.42,PURCHASE 711727
T0002152,A00004,M031,30-Apr-2024,$-213.40,PURCHASE 676427
T0000188,A00035,M027,03/24/2025,$-278.52,PURCHASE 672233
T0002646,A00090,M031,29-Jun-2025,-103.53,PURCHASE 160957
T0001229,A00036,M029,,-37.48,PURCHASE 162412
T0001929,A00058,M007,,-115.63,PURCHASE 741824
T0001001,A00028,M018,2024-08-06,-122.91,PURCHASE 671540
T0001081,A00075,M020,01/19/2025,$-273.33,PURCHASE 527599
T0003210,A99999,M007,14-Feb-2024,$-35.00,PURCHASE ORPHAN
T0002937,A00044,M018,24-Oct-2024,-284.75,PURCHASE 266742
T0000947,A00058,M026,05/05/25,-215.48,PURCHASE 621282
T0001913,A00069,M001,2024-10-22,-188.90,PURCHASE 919227
T0000465,A00092,M001,2025-06-29,-166.41,PURCHASE 823044
T0000157,A00080,M027,07/23/24, $-221.15 ,PURCHASE 317782
T0001441,A00026,M027,07/05/24,$-369.19,  PURCHASE 130731  
T0002922,A00090,M028,05/23/25,-9.46,PURCHASE 758873
T0002556,A00050,M031,02/25/2025,$(252.28),PURCHASE 277508
T0003133,A00091,M015,2025-04-29, -171.33 ,  PURCHASE 824484  
T0001786,A00047,M026,12/04/2024,$(303.89),PURCHASE 274975
T0001005,A00079,M013,2024-04-04,$-339.35,PURCHASE 931845
T0002897,A00013,M008,2025-05-12,$-196.70,PURCHASE 346266
T0000193,A00067,M012,2025-03-22,-59.01,PURCHASE 678469
T0002649,A00046,M017,04/06/25,-394.22,PURCHASE 620247
T0000028,A00052,M010,09-Sep-2024,$-96.77,PURCHASE 432441
T0001748,A00043,M012,05/01/25,-298.98,PURCHASE 736753
T0001414,A00004,M015,06/07/2025,(345.30),  PURCHASE 749814  
T0001638,A00091,M010,2024-05-08, -280.07 ,PURCHASE 994164
T0002330,A00093,M010,10/18/2024,$-240.35,PURCHASE 557574
T0002394,A00055,M031,01-Mar-2025,-262.56,PURCHASE 487670
T0000727,A00019,M002,12/11/24,$-137.04,PURCHASE 933298
T0001214,A00071,M023,2025-05-23,(242.58),PURCHASE 458792
T0001135,A00085,M031,2024-05-22,"$3,859.85",PAYROLL DEP 289485
T0000272,A00087,M007,04/30/2025,-97.36,  PURCHASE 803950  
T0003155,A00085,M002,2024-11-23,(123.28),  PURCHASE 566524  
T0001157,A00013,M030,10/23/2024,$-50.51,  PURCHASE 551712  
T0002329,A00013,M010,03-Apr-2025,-310.19,PURCHASE 165141
T0000167,A00080,M018,11/07/24, -89.26 ,PURCHASE 576535
T0001882,A00009,M022,27-Mar-2025,-299.99,PURCHASE 417801
T0001561,A00065,M002,09-May-2025,$-251.77,PURCHASE 979855
T0002780,A00074,M028,03/20/2025,$-226.41,PURCHASE 170672
T0001434,A00032,M014,2025-06-05,-296.40,PURCHASE 236337
T0000430,A00014,M029,27-Jun-2024,$-212.95,PURCHASE 609990
T0001019,A00074,M008,05/15/2024,-419.23,PURCHASE 218083
T0002993,A00053,M006,2025-04-05,-266.25,PURCHASE 327482
T0003134,A00049,M003,01-Feb-2024,(177.08),PURCHASE 332148
T0002695,A00010,M030,02/09/2025,$-205.98,PURCHASE 105150
T0000558,A00047,M031,2025-05-14,"$1,820.03",PAYROLL DEP 521598
T0000380,A00064,M016,2024-11-15,-321.59,PURCHASE 689567
T0001334,A00019,M022,05/16/2024,(3.40),PURCHASE 769286
T0001095,A00044,M013,22-May-2024,-407.04,PURCHASE 346645
T0001390,A00008,M011,17-Apr-2025,-267.63,PURCHASE 378502
T0002814,A00076,M025,2025-05-11,(153.03),PURCHASE 117213
T0000908,A00054,M028,03/09/2025,$(7.55),PURCHASE 182533
T0001239,A00033,M022,2024-03-03,(397.91),PURCHASE 173131
T0000389,A00006,M014,11/03/2024,$(135.88),PURCHASE 777424
T0000349,A00056,M001,06/17/2025,$-125.25,  PURCHASE 776000  
T0000247,A00052,M031,2024-04-11,"3,981.96",  PAYROLL DEP 331444  
T0000133,A00090,M014,03/21/24,(87.20),PURCHASE 946561
T0000079,A00092,M014,05/21/2024,-80.46,PURCHASE 613426
T0002754,A00068,M012,06/17/2025,-80.85,PURCHASE 845511
T0002057,A00077,M031,09/29/2024,-101.15,PURCHASE 123579
T0003043,A00050,M021,01/14/25,-355.78,PURCHASE 716509
T0000422,A00003,M031,01/04/2025, $-290.85 ,PURCHASE 116656
T0002189,A00051,M002,2025-04-30,-9.50,PURCHASE 451675
T0000274,A00009,M002,2025-04-12, -369.03 ,PURCHASE 902328
T0000638,A00042,M023,03/17/2024,$-258.52,PURCHASE 232423
T0001672,A00067,M031,23-Apr-2024," 5,050.17 ",PAYROLL DEP 853313
T0001209,A00034,M023,15-May-2024,-321.59,PURCHASE 295844
T0002125,A00003,M027,11/25/2024,-72.20,PURCHASE 958505
T0002833,A00030,M005,2024-12-26,-366.10,PURCHASE 667455
T0001944,A00058,M004,12/10/2024, $-297.05 ,PURCHASE 685790
T0000621,A00034,M021,01/27/2024,-324.10,PURCHASE 126518
T0001567,A00042,M016,01/17/2024,(342.00),  PURCHASE 952073  
T0001673,A00046,M008,24-Mar-2024,-116.50,PURCHASE 315082
T0000123,A00084,M004,14-Aug-2024,$-393.60,PURCHASE 193035
T0001912,A00021,M028,05/24/25,-136.45,PURCHASE 736842
T0000473,A00082,M007,24-Jul-2024,-330.46,PURCHASE 447231
T0000140,A00093,M028,04/01/25,-200.90,  PURCHASE 194782  
T0001754,A00059,M023,09/05/2024,-213.73,  PURCHASE 263332  
T0000404,A00035,M014,07/12/24,$-333.46,  PURCHASE 711218  
T0000261,A00041,M005,2024-07-23,$(318.97),PURCHASE 972881
T0001729,A00077,M031,2025-03-31,"2,470.24",  PAYROLL DEP 547048  
T0000374,A00075,M012,05/02/25,$-77.77,PURCHASE 189135
T0002636,A00023,M003,01/05/24,-139.78,PURCHASE 519387
T0002804,A00007,M015,02/18/25,$-218.50,  PURCHASE 873677  
T0000384,A00054,M004,03-Feb-2025,-340.07,PURCHASE 456032
T0000689,A00076,M026,03/20/25,$(307.09),PURCHASE 810902
T0001789,A00036,M030,05/03/25,-129.95,PURCHASE 902023
T0000317,A00012,M009,10/06/2024,-337.57,PURCHASE 804527
T0002322,A00056,M005,06/22/2025,-115.96,PURCHASE 999700
T0001325,A00017,M027,01/02/24,-84.52,PURCHASE 626598
T0002429,A00075,M016,2025-03-10, $-225.24 ,PURCHASE 701822
T0000470,A00047,M031,04/13/2024,-284.80,PURCHASE 847948
T0003193,A00032,M015,2024-08-02,-44.45,PURCHASE 156051
T0002159,A00004,M018,06/09/2025,(62.00),PURCHASE 858639
T0000709,A00056,M001,06/04/2025,-252.53,PURCHASE 962347
T0000932,A00018,M007,2024-04-08,$(12.80),PURCHASE 365744
T0003161,A00057,M015,17-Nov-2024,(245.95),PURCHASE 125073
T0002638,A00040,M031,25-Jan-2024,-57.64,PURCHASE 880854
T0001749,A00062,M009,07/18/24,$-9.70,PURCHASE 245133
T0000285,A00033,M007,26-Aug-2024,$-3.66,PURCHASE 534773
T0001462,A00033,M003,28-Mar-2025,-353.50,PURCHASE 689952
T0002212,A00056,M025,13-Feb-2025,(173.22),PURCHASE 235809
T0001648,A00024,M015,04/13/25, (248.88) ,PURCHASE 437883
T0001919,A00041,M009,10/21/24,$-103.24,PURCHASE 469515
T0002784,A00093,M031,02/23/25,-68.32,PURCHASE 477420
T0002893,A00042,M018,10/03/2024,$-236.15,PURCHASE 781598
T0000598,A00072,M029,2024-04-09,$-312.19,PURCHASE 714841
T0000097,A00061,M031,02/10/2024,-332.13,PURCHASE 186431
T0002830,A00064,M026,01/22/24,-231.34,  PURCHASE 282052  
T0002037,A00041,M019,2025-06-15,-307.58,PURCHASE 214187
T0001845,A00069,M027,28-Jul-2024,(12.05),PURCHASE 648470
T0001077,A00007,M003,03/20/25, -329.76 ,  PURCHASE 115658  
T0000311,A00015,M023,23-Oct-2024, -387.83 ,PURCHASE 277292
T0002514,A00033,M031,06/03/2024,"3,128.33",PAYROLL DEP 469945
T0001129,A00004,M012,04/10/24,-168.60,PURCHASE 378199
T0003025,A00019,M022,06/04/24,-216.03,  PURCHASE 904483  
T0002724,A00084,M008,2024-10-11, -295.43 ,PURCHASE 112610
T0000655,A00026,M019,10-Aug-2024,(54.47),PURCHASE 244408
T0000474,A00092,M015,12/02/2024,-368.34,PURCHASE 589199
T0000503,A00045,M027,2024-08-13,(119.12),PURCHASE 623843
T0000816,A00019,M030,02/17/25, $(353.87) ,  PURCHASE 870651  
T0002697,A00006,M005,12/30/24,$-332.65,  PURCHASE 911298  
T0002400,A00045,M002,03/09/2024,-380.57,PURCHASE 452086
T0001038,A00050,M004,04/03/2024,(335.18),  PURCHASE 687270  
T0003162,A00056,M027,06/25/25,$-248.20,PURCHASE 382629
T0001835,A00017,M020,10/03/2024, -222.01 ,PURCHASE 357565
T0000209,A00084,M018,2025-05-09,-234.40,PURCHASE 996531
T0001190,A00020,M020,05/18/2025,-308.84,PURCHASE 796776
T0000178,A00039,M023,08/18/2024,-298.88,PURCHASE 302897
T0001747,A00015,M029,10/24/24,-285.65,PURCHASE 592464
T0000777,A00077,M011,02/22/25,-257.29,PURCHASE 730553
T0002169,A00091,M001,07/29/24,-321.36,PURCHASE 617045
T0002572,A00029,M013,2025-03-02,-72.23,PURCHASE 346073
T0002403,A00008,M019,16-Oct-2024, $(382.67) ,PURCHASE 955184
T0000377,A00081,M021,16-May-2025,-395.98,PURCHASE 287795
T0002470,A00092,M009,05/17/25,$-79.13,PURCHASE 769779
T0001471,A00069,M008,02/17/2025,(16.50),  PURCHASE 998082  
T0001293,A00080,M013,04/03/2024,-140.12,  PURCHASE 290514  
T0002722,A00033,M008,2025-02-06, -110.32 ,PURCHASE 931482
T0000190,A00088,M006,06/08/25,$(95.07),PURCHASE 992744
T0001563,A00062,M004,07/09/2024,-250.70,PURCHASE 253868
T0000352,A00035,M027,05-Jul-2024,$-298.28,PURCHASE 702433
T0000052,A00079,M017,11/11/24,-371.13,  PURCHASE 312994  
T0001013,A00029,M018,2024-03-22,-392.98,PURCHASE 523257
T0000737,A00059,M027,04/30/2025,-220.67,PURCHASE 974098
T0002409,A00091,M031,14-Sep-2024,-166.91,PURCHASE 428345
T0000017,A00080,M023,05/27/24,-136.15,  PURCHASE 211341  
T0002337,A00026,M022,2024-09-05,-286.55,PURCHASE 467274
T0002240,A00084,M001,01-Jan-2024,$-72.79,PURCHASE 132680
T0000307,A00088,M029,03/01/2025,$-331.98,PURCHASE 571907
T0002333,A00089,M016,25-Jul-2024,(380.97),PURCHASE 352349
T0000050,A00054,M007,2024-02-10,$-338.54,PURCHASE 417915
T0001898,A00010,M011,02/27/2025,$-161.46,PURCHASE 660774
T0001028,A00062,M008,06/29/25,$-182.65,PURCHASE 146008
T0002839,A00011,,2024-07-30,$-190.73,PURCHASE 332373
T0001870,A00007,M023,01/17/2024, -58.53 ,PURCHASE 171092
T0002287,A00025,M027,2025-03-11,-326.41,PURCHASE 953567
T0000136,A00080,M031,15-Feb-2025,"4,824.55",PAYROLL DEP 121215
T0000023,A00003,M020,2024-11-22,-311.30,PURCHASE 414353
T0002939,A00036,M027,04/09/2025,(34.12),PURCHASE 565058
T0000562,A00011,M025,05/10/2024,-328.40,PURCHASE 213119
T0000381,A00005,M012,2025-01-21,(322.62),PURCHASE 948878
T0000976,A00051,M031,03-Oct-2024,"3,532.32",PAYROLL DEP 463778
T0000755,A00082,M003,06/25/24,-79.98,PURCHASE 913284
T0001053,A00077,M016,2024-01-24,$-160.32,PURCHASE 629757
T0002843,A00007,M021,02/24/2025,-75.80,PURCHASE 453255
T0001745,A00011,M026,06/19/2024,-201.12,PURCHASE 406697
T0002286,A00056,M023,02/23/2025,(167.25),PURCHASE 611826
T0001236,A00029,M013,03/01/2024,(302.04),PURCHASE 380028
T0002331,A00076,M016,07-Mar-2025, -51.96 ,PURCHASE 572281
T0000519,A00012,M006,10/22/2024,(76.56),PURCHASE 694639
T0000809,A00018,M011,12/22/2024,$-366.02,PURCHASE 344296
T0000104,A00075,M025,04/21/2025,$-355.30,PURCHASE 418672
T0001717,A00002,M003,2024-12-30,-365.37,  PURCHASE 331389  
T0001811,A00045,M008,03/14/25,-186.14,PURCHASE 886519
T0003112,A00044,M029,2024-06-07,-9.51,PURCHASE 461078
T0002849,A00011,M003,06/26/2025,-99.34,  PURCHASE 922786  
T0002410,A00020,M002,03/10/25,(342.25),PURCHASE 783475
T0000674,A00084,M022,14-Mar-2024,-307.40,PURCHASE 596744
T0001840,A00053,M011,01/28/24,(162.85),PURCHASE 282976
T0000440,A00078,M012,09/22/2024,,PURCHASE 455446
T0000740,A00065,M002,2024-01-14,-272.89,PURCHASE 160006
T0000659,A00010,M017,2025-03-28,-392.84,PURCHASE 129017
T0002138,A00079,M027,03/19/2025,(126.62),PURCHASE 455035
T0003165,A00084,M011,03/06/2024,(108.31),PURCHASE 194756
T0001097,A00015,M020,05/13/24,-143.83,PURCHASE 573813
T0001993,A00040,M023,2024-07-06,$-147.60,PURCHASE 936914
T0002856,A00086,M031,01/27/25,"$3,727.96",  PAYROLL DEP 337728  
T0001275,A00004,M019,11/04/2024,-291.69,PURCHASE 191063
T0002236,A00065,M017,2025-04-07,-230.64,PURCHASE 414210
T0000518,A00044,M009,12/18/24,-315.22,PURCHASE 101655
T0002726,A00078,M011,05/16/2024,-52.68,PURCHASE 481860
T0002542,A00042,M002,01/30/25,-411.79,PURCHASE 882457
T0003011,A00082,M031,02/27/24,-85.69,  PURCHASE 211136  
T0001945,A00018,M015,05/25/24,(401.02),PURCHASE 361062
T0000526,A00072,M010,2024-04-12,-256.19,PURCHASE 133287
T0002388,A00088,,2025-04-16,-380.66,PURCHASE 560720
T0002045,A00051,M005,,$(255.01),PURCHASE 156199
T0002492,A00045,M005,12/12/24,-248.32,PURCHASE 565366
T0001922,A00093,M012,2024-11-04,$-389.96,PURCHASE 910981
T0002516,A00073,M029,06/12/2024,-121.05,PURCHASE 896883
T0002835,A00008,M016,09/11/24,(69.04),PURCHASE 550410
T0001713,A00015,,2025-03-27,-105.19,PURCHASE 810598
T0000013,A00070,M010,05/07/2024,-71.66,PURCHASE 987025
T0003017,A00064,M009,05/21/25,-125.98,PURCHASE 424096
T0001128,A00016,M020,09/09/2024,$-198.37,  PURCHASE 442755  
T0001467,A00044,M031,04-Mar-2025,-380.30,PURCHASE 814931
T0000969,A00023,M028,02/19/2024,-58.17,PURCHASE 283652
T0001192,A00059,M009,09/09/2024,(140.17),PURCHASE 854121
T0002247,A00070,M027,2025-02-01,-157.54,PURCHASE 552588
T0000792,A00089,M007,03/29/2025,-248.59,PURCHASE 383894
T0000832,A00023,M008,05/13/25,-221.02,PURCHASE 991253
T0000547,A00072,M019,07/16/2024,-277.10,  PURCHASE 554691  
T0000140,A00093,M028,04/01/25,-200.90,  PURCHASE 194782  
T0001817,A00067,M030,05/13/2025,-270.17,PURCHASE 289923
T0002431,A00015,M031,02/08/2025,"$1,840.76",  PAYROLL DEP 577327  
T0002630,A00084,M018,2024-05-22,-142.63,PURCHASE 271525
T0003037,A00064,M015,2024-01-27,-254.28,PURCHASE 948520
T0001536,A00085,M027,03/22/2024,-186.32,  PURCHASE 967244  
T0000150,A00087,M006,2024-12-06,$-133.69,  PURCHASE 266131  
T0001860,A00079,M014,04/17/25,$(75.17),PURCHASE 830459
T0001227,A00040,M004,14-Apr-2024,-399.58,PURCHASE 820034
T0001924,A00037,M016,17-Sep-2024,-282.16,PURCHASE 682977
T0000470,A00047,M031,04/13/2024,-284.80,PURCHASE 847948
T0001472,A00033,,2025-02-27,-334.40,PURCHASE 619522
T0002063,A00055,M014,03/27/25,-412.32,PURCHASE 106903
T0002010,A00036,M014,2025-03-11,-21.95,PURCHASE 886950
T0001984,A00063,M031,10/20/2024,"2,023.77",  PAYROLL DEP 525215  
T0000418,A00022,M005,11/03/24,-288.36,PURCHASE 147285
T0000831,A00003,M029,04/10/25,$-411.24,PURCHASE 367861
T0000567,A00027,M029,03/04/2025,(22.83),PURCHASE 735984
T0001670,A00045,M019,2024-05-22,$-361.86,PURCHASE 630188
T0000786,A00023,M019,12/18/24,-358.54,PURCHASE 650750
T0002248,A00002,M023,05/14/24,-271.99,PURCHASE 290955
T0003119,A00057,M009,11-Aug-2024,(398.22),PURCHASE 799165
T0002118,A00093,M028,08-Mar-2025,-315.11,PURCHASE 795317
T0002460,A00017,M012,04/13/25,-337.57,  PURCHASE 783238  
T0002511,A00010,M016,2025-01-05,-405.86,  PURCHASE 150972  
T0001512,A00081,M005,28-Feb-2025,-286.33,PURCHASE 170405
T0001251,A00017,M021,14-Jan-2024,-89.68,PURCHASE 851765
T0003183,A00081,M009,2024-02-14,$-260.89,PURCHASE 245286
T0001447,A00032,M015,2025-04-27,$-252.68,PURCHASE 679364
T0003118,A00049,M012,11/21/2024,-175.28,PURCHASE 288802
T0001707,A00087,M020,10/29/2024,-60.89,PURCHASE 225014
T0002794,A00090,M011,05-Sep-2024,-78.51,PURCHASE 183213
T0000885,A00040,M011,07/20/24,-124.91,PURCHASE 752069
T0001914,A00075,M012,2025-04-12,$-31.57,PURCHASE 273236
T0001965,A00025,M016,10-Dec-2024,(328.21),PURCHASE 645555
T0000945,A00058,M025,06/06/2025,-31.35,PURCHASE 980563
T0002593,A00023,M027,20-May-2024,-276.30,PURCHASE 710719
T0000770,A00040,M020,2024-11-28,-123.03,PURCHASE 507937
T0002910,A00061,M018,29-Oct-2024,$-340.66,PURCHASE 734400
T0001542,A00086,M028,2024-02-20,$-339.72,PURCHASE 298809
T0001920,A00076,M008,02/14/2025, -145.87 ,PURCHASE 780212
T0000958,A00023,M020,01/27/25,-10.27,PURCHASE 230614
T0002604,A00057,M022,02/19/24,-381.85,PURCHASE 533266
T0000520,A00051,M007,2024-07-06,-111.15,PURCHASE 274195
T0001867,A00074,M025,11-Nov-2024,(280.59),PURCHASE 720305
T0001311,A00035,M007,2024-03-06,$-417.31,PURCHASE 975262
T0000718,A00090,M002,02/12/2025,-114.89,PURCHASE 700315
T0002142,A00064,M023,2025-03-13,-279.64,PURCHASE 857465
T0000646,A00047,M004,18-Feb-2025,-94.69,PURCHASE 767837
T0000557,A00074,M016,2024-04-30,-125.41,PURCHASE 774206
T0000778,A00052,M024,06/14/24,-367.73,PURCHASE 132390
T0001778,A00020,M028,04-Mar-2025,-217.39,PURCHASE 997737
T0001732,A00017,M013,28-Mar-2024,-6.64,PURCHASE 728510
T0001625,A00084,M028,06/15/2025, -96.94 ,PURCHASE 347595
T0003151,A00044,M031,02/18/2025,"$1,897.52",PAYROLL DEP 170085
T0000833,A00055,M009,2024-04-17,-354.25,  PURCHASE 363453  
T0001641,A00018,M007,02/10/24,-305.41,PURCHASE 116929
T0002190,A00033,M020,29-Dec-2024, $-315.27 ,PURCHASE 830542
T0002679,A00007,M027,06/20/2025,-135.67,PURCHASE 994997
T0002290,A00031,M028,2024-01-14,(305.79),PURCHASE 362237
T0001218,A00008,M014,03/29/2024,$-36.72,PURCHASE 155826
T0001991,A00074,M022,2024-11-28,-394.29,PURCHASE 727773
T0002541,A00070,M007,03-Oct-2024,$-328.66,  PURCHASE 517079  
T0002206,A00043,M010,21-Mar-2025,$-228.52,PURCHASE 597834
T0002273,A00079,M030,04/17/2025, -88.38 ,PURCHASE 992645
T0001111,A00079,M020,06/30/24,-223.68,  PURCHASE 975468  
T0000985,A00004,M004,07-Dec-2024,-131.44,PURCHASE 550998
