loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,emp_length_missing
3000,36.0,10.08,96.92,1,5,1.0,1,57500.0,2,8,0.79,0.0,0.0,2.0,0.0,3834,32.8,20.0,0
14400,60.0,17.57,362.31,3,18,8.0,1,41000.0,0,2,25.38,0.0,0.0,12.0,0.0,12728,64.6,37.0,0
11050,36.0,18.25,400.88,4,20,6.0,4,34600.0,2,9,18.49,0.0,0.0,7.0,1.0,14285,79.4,26.0,1
10000,36.0,15.31,348.18,2,14,7.0,5,60000.0,2,2,18.2,0.0,0.0,8.0,0.0,3498,23.6,20.0,0
24000,36.0,9.99,774.3,1,7,5.0,1,75000.0,0,2,17.54,0.0,3.0,17.0,0.0,18459,34.6,29.0,0
12000,60.0,26.24,361.0,4,24,1.0,1,227500.0,2,11,7.12,0.0,1.0,12.0,0.0,30824,112.5,44.0,0
10375,36.0,17.27,371.3,2,14,3.0,1,30000.0,0,1,18.14,0.0,1.0,16.0,0.0,12811,46.2,32.0,0
35000,60.0,9.99,743.48,1,7,10.0,1,180000.0,2,2,31.23,1.0,1.0,48.0,0.0,49479,14.4,74.0,0
8400,36.0,14.65,289.76,2,12,4.0,1,100000.0,0,2,18.16,0.0,1.0,9.0,0.0,23233,88.5,15.0,0
6000,36.0,11.99,199.26,2,10,2.0,5,40000.0,2,2,28.33,0.0,2.0,12.0,0.0,8492,22.2,29.0,0
5000,36.0,8.19,157.13,0,4,9.0,5,32000.0,0,9,18.9,0.0,0.0,5.0,0.0,8127,30.4,12.0,0
11850,60.0,17.14,295.4,3,18,0.0,1,35000.0,0,9,19.66,0.0,1.0,12.0,0.0,10892,45.8,22.0,0
20975,36.0,9.75,674.35,1,7,10.0,4,150000.0,0,2,9.48,0.0,0.0,4.0,0.0,16892,30.7,11.0,0
5000,36.0,13.33,169.27,2,12,5.0,1,85000.0,0,4,12.75,3.0,0.0,7.0,0.0,1901,38.8,19.0,0
30000,36.0,6.49,919.34,0,1,3.0,1,178000.0,2,2,20.37,0.0,0.0,9.0,0.0,34476,25.1,25.0,0
5000,36.0,12.99,168.45,2,11,7.0,5,34000.0,1,2,15.53,0.0,1.0,6.0,1.0,3961,25.6,13.0,0
10000,36.0,12.05,332.39,2,10,7.0,5,72500.0,1,2,16.24,1.0,1.0,22.0,2.0,7990,29.8,47.0,0
20000,36.0,8.18,628.39,1,5,4.0,1,86000.0,0,2,17.36,0.0,0.0,19.0,0.0,38302,68.3,36.0,0
24000,60.0,22.74,673.0,4,20,10.0,4,76000.0,1,2,23.09,1.0,0.0,14.0,0.0,16227,57.1,22.0,0
16350,60.0,25.49,484.61,4,23,6.0,5,55000.0,1,2,11.63,0.0,0.0,8.0,0.0,6914,57.6,13.0,0
20000,36.0,11.99,664.2,1,7,10.0,1,46000.0,0,1,17.51,0.0,0.0,9.0,1.0,12805,68.1,23.0,0
22000,36.0,10.49,714.96,1,7,4.0,1,98000.0,1,2,15.64,0.0,2.0,20.0,0.0,27906,49.5,35.0,0
30000,60.0,16.29,734.18,3,16,9.0,4,260000.0,2,2,5.97,8.0,2.0,11.0,0.0,7305,32.6,41.0,0
13200,36.0,9.99,425.87,1,5,1.0,5,50000.0,0,2,24.67,4.0,1.0,7.0,0.0,4075,35.4,42.0,0
35000,60.0,19.47,917.0,3,19,10.0,1,84780.0,2,2,25.93,0.0,0.0,25.0,0.0,35377,66.4,38.0,0
2500,36.0,10.0,80.67,1,6,1.0,5,36000.0,0,2,17.4,0.0,0.0,11.0,0.0,11910,51.8,14.0,0
32000,60.0,18.99,829.93,3,17,2.0,1,90000.0,2,2,23.43,1.0,3.0,22.0,0.0,7279,54.3,35.0,0
28000,60.0,13.33,641.83,2,12,0.0,1,175000.0,1,2,4.88,0.0,1.0,9.0,0.0,38191,72.5,28.0,0
9000,36.0,8.49,284.07,0,4,7.0,1,50000.0,1,2,6.98,0.0,0.0,8.0,0.0,4239,15.0,15.0,0
9000,36.0,11.55,297.0,1,7,10.0,1,56000.0,0,4,10.93,3.0,1.0,9.0,0.0,27700,76.9,24.0,0
7500,36.0,8.18,235.65,1,5,5.0,1,52000.0,1,1,22.25,0.0,0.0,8.0,0.0,15316,46.3,27.0,0
5000,36.0,10.99,163.67,1,6,8.0,1,69000.0,2,2,27.2,2.0,0.0,19.0,0.0,6921,26.7,40.0,0
40000,60.0,28.72,1262.87,5,25,4.0,4,135000.0,2,2,19.95,0.0,1.0,11.0,1.0,13925,49.7,40.0,0
11500,60.0,13.49,264.56,2,11,3.0,1,52000.0,0,2,27.65,0.0,0.0,8.0,0.0,14177,47.3,8.0,0
11000,60.0,13.67,254.08,2,12,10.0,1,55000.0,1,1,26.42,0.0,1.0,8.0,0.0,14773,54.0,16.0,0
10000,36.0,7.9,312.91,0,3,10.0,1,67500.0,1,2,18.76,0.0,3.0,12.0,0.0,9005,29.6,32.0,0
28000,60.0,10.16,597.13,1,5,10.0,1,95000.0,2,2,20.21,0.0,0.0,11.0,0.0,22308,18.6,20.0,0
8000,36.0,8.18,251.36,1,5,5.0,1,98000.0,0,2,2.47,0.0,2.0,6.0,1.0,5180,28.0,11.0,0
12000,36.0,7.62,373.94,0,2,10.0,1,140000.0,0,4,11.17,0.0,0.0,8.0,0.0,20569,55.7,28.0,0
5000,36.0,16.02,175.84,2,14,3.0,5,80000.0,0,9,14.51,0.0,1.0,10.0,0.0,3977,33.7,16.0,0
10000,36.0,11.47,329.62,1,9,1.0,5,45000.0,1,2,12.93,0.0,1.0,9.0,0.0,4003,61.6,12.0,0
7050,36.0,16.99,251.32,3,17,6.0,5,28000.0,1,2,16.07,0.0,0.0,2.0,0.0,4723,75.0,10.0,1
14125,36.0,14.74,487.84,3,17,0.0,5,30000.0,2,2,11.24,0.0,1.0,9.0,0.0,23762,94.3,16.0,0
5975,36.0,7.9,186.96,0,3,7.0,1,147000.0,0,1,7.75,0.0,0.0,16.0,0.0,31545,40.5,35.0,0
13000,36.0,15.31,452.63,2,14,7.0,1,55600.0,2,2,30.15,0.0,2.0,22.0,0.0,16836,17.0,32.0,0
1500,36.0,8.9,47.63,0,4,4.0,4,79000.0,0,9,20.67,2.0,0.0,14.0,0.0,17739,51.7,36.0,0
32000,36.0,7.51,995.55,0,2,6.0,1,88000.0,2,1,14.59,0.0,1.0,7.0,0.0,5709,12.8,13.0,0
14000,36.0,9.99,451.68,1,8,2.0,5,70000.0,2,2,13.03,0.0,0.0,11.0,0.0,22104,36.3,19.0,0
24000,36.0,9.67,770.7,1,5,7.0,1,100000.0,2,0,23.16,0.0,2.0,16.0,0.0,31358,45.1,38.0,0
7925,36.0,17.86,285.96,3,19,2.0,4,28000.0,0,2,38.11,1.0,1.0,20.0,0.0,12527,39.4,28.0,0
4000,36.0,11.22,131.38,1,9,0.0,4,20000.0,1,2,7.26,0.0,0.0,8.0,0.0,6010,44.5,13.0,0
27650,60.0,19.92,731.33,3,17,5.0,1,61000.0,0,2,25.69,0.0,1.0,8.0,0.0,19152,47.8,54.0,0
35000,60.0,16.99,869.66,3,15,10.0,1,80000.0,2,2,10.64,1.0,1.0,12.0,0.0,30606,39.2,24.0,0
3600,36.0,17.57,129.38,3,18,6.0,1,60000.0,2,9,4.58,0.0,0.0,6.0,0.0,7571,53.7,28.0,0
8000,36.0,18.85,292.65,3,17,6.0,1,33000.0,2,1,7.82,1.0,1.0,9.0,0.0,3933,33.3,33.0,1
20000,60.0,15.88,485.09,2,13,10.0,1,70000.0,2,2,17.33,1.0,1.0,18.0,0.0,19513,59.7,31.0,0
28000,60.0,15.88,679.13,2,13,10.0,1,63000.0,2,2,22.97,0.0,0.0,20.0,0.0,38046,83.3,35.0,0
5000,36.0,9.16,159.38,1,6,10.0,1,100000.0,1,0,17.57,2.0,0.0,14.0,3.0,9763,24.2,33.0,0
5000,36.0,11.49,164.86,1,9,0.0,1,75500.0,1,2,26.64,0.0,0.0,12.0,0.0,18984,77.8,26.0,0
7500,36.0,8.9,238.15,0,4,7.0,1,60000.0,0,2,4.82,0.0,1.0,8.0,0.0,4824,22.2,26.0,0
20000,36.0,7.89,625.72,0,4,10.0,1,120000.0,0,2,27.52,0.0,1.0,24.0,0.0,14456,24.1,43.0,0
12000,36.0,8.24,377.37,1,5,5.0,1,60000.0,0,1,16.18,0.0,2.0,14.0,0.0,8989,17.0,21.0,0
16000,36.0,10.99,523.75,1,8,6.0,1,72786.0,2,2,27.6,2.0,0.0,14.0,0.0,9798,46.4,29.0,1
24000,36.0,6.97,740.73,0,2,0.0,1,135000.0,1,2,14.44,0.0,0.0,10.0,0.0,27872,73.9,29.0,0
11075,36.0,15.61,387.24,3,15,8.0,5,58000.0,1,2,10.41,0.0,0.0,12.0,0.0,3094,24.8,14.0,0
15000,36.0,6.49,459.67,0,1,10.0,5,60000.0,1,1,10.66,0.0,1.0,19.0,0.0,14196,37.2,22.0,0
35000,36.0,17.99,1265.16,3,16,3.0,1,850000.0,1,2,6.89,0.0,1.0,22.0,0.0,547576,89.0,36.0,0
15000,60.0,11.99,333.6,1,9,1.0,1,40000.0,2,2,31.31,0.0,0.0,14.0,0.0,12509,73.2,21.0,0
18000,36.0,16.29,635.41,3,16,7.0,1,50000.0,0,2,30.51,1.0,4.0,12.0,0.0,7983,49.3,37.0,0
20000,36.0,6.72,614.99,0,2,10.0,1,200000.0,1,2,4.75,0.0,1.0,8.0,0.0,16219,60.7,24.0,0
10000,36.0,11.47,329.62,1,9,10.0,1,87258.0,1,2,18.66,0.0,0.0,7.0,0.0,6345,97.6,15.0,0
33000,36.0,10.75,1076.48,1,8,10.0,4,108000.0,1,2,20.62,0.0,3.0,21.0,0.0,34312,26.2,42.0,0
5000,36.0,7.26,154.99,0,3,7.0,1,33000.0,0,1,19.13,0.0,1.0,9.0,0.0,3226,13.0,12.0,0
5000,36.0,6.24,152.66,0,1,10.0,5,55000.0,0,1,13.9,0.0,0.0,9.0,0.0,18944,60.7,26.0,0
26400,36.0,17.27,944.79,3,15,6.0,5,64726.94,2,2,32.13,0.0,1.0,16.0,0.0,18495,61.6,25.0,0
9550,36.0,25.99,384.73,6,33,7.0,1,32000.0,2,7,27.08,0.0,1.0,14.0,0.0,12070,83.2,23.0,0
22800,60.0,24.99,669.08,5,28,2.0,5,60000.0,1,2,33.88,0.0,1.0,15.0,0.0,11612,81.2,21.0,0
1000,36.0,19.52,36.92,3,18,3.0,5,23712.0,0,12,17.91,0.0,2.0,6.0,0.0,1266,16.9,6.0,0
28000,60.0,13.99,651.37,2,13,0.0,5,90000.0,0,1,36.81,0.0,0.0,19.0,0.0,19560,68.2,33.0,0
5000,36.0,8.9,158.77,0,4,10.0,1,150000.0,0,2,13.82,0.0,0.0,15.0,1.0,21857,53.6,31.0,0
10000,36.0,8.24,314.48,1,5,10.0,1,72000.0,0,4,3.69,0.0,0.0,7.0,0.0,1575,6.6,26.0,0
15000,60.0,15.61,361.67,3,15,10.0,5,44072.0,1,2,29.08,0.0,0.0,16.0,0.0,21416,88.5,24.0,0
6400,36.0,17.86,230.93,3,19,6.0,1,20000.0,1,9,18.25,0.0,0.0,3.0,0.0,2385,72.3,19.0,0
15000,60.0,25.69,446.36,5,25,4.0,5,40000.0,1,2,28.05,1.0,0.0,14.0,0.0,6035,88.8,16.0,0
35000,36.0,16.14,1232.92,2,13,10.0,4,145000.0,1,5,14.37,1.0,0.0,11.0,0.0,37556,73.8,24.0,0
10000,36.0,14.3,343.24,2,10,1.0,4,40000.0,0,2,16.41,0.0,0.0,8.0,0.0,1461,16.8,22.0,0
25000,36.0,5.32,752.87,0,0,10.0,1,107000.0,0,2,15.0,0.0,0.0,15.0,0.0,100010,41.3,25.0,0
5000,36.0,11.53,164.96,1,9,5.0,5,40000.0,2,2,9.78,0.0,0.0,18.0,1.0,4808,19.7,38.0,0
24000,36.0,9.49,768.68,1,6,10.0,1,140000.0,2,9,16.84,0.0,0.0,16.0,0.0,32761,82.3,31.0,0
5000,36.0,9.17,159.4,1,5,6.0,5,28000.0,2,1,9.22,0.0,1.0,3.0,1.0,5228,50.8,5.0,1
11750,36.0,19.05,431.01,3,18,2.0,5,37000.0,0,2,19.36,1.0,0.0,10.0,0.0,14168,94.5,43.0,0
33000,60.0,19.52,865.51,4,21,10.0,1,90000.0,2,4,24.75,2.0,5.0,19.0,1.0,6025,53.3,55.0,0
35000,36.0,12.29,1167.36,2,10,6.0,1,194000.0,1,2,11.06,0.0,0.0,6.0,0.0,30360,69.0,17.0,0
8400,36.0,5.32,252.97,0,0,10.0,1,120000.0,0,9,2.9,0.0,0.0,10.0,0.0,10727,21.6,14.0,0
7750,36.0,14.08,265.18,2,12,9.0,1,24000.0,1,2,16.63,0.0,0.0,8.0,0.0,4637,20.7,14.0,0
10250,36.0,14.65,353.57,2,14,3.0,5,32000.0,2,2,8.81,0.0,0.0,6.0,0.0,10928,94.2,10.0,0
13000,36.0,14.49,447.41,2,13,10.0,1,49545.0,1,2,38.32,0.0,2.0,11.0,0.0,7433,35.7,18.0,0
15000,60.0,12.59,338.16,2,11,10.0,1,50000.0,1,1,34.18,0.0,0.0,17.0,0.0,12411,36.9,34.0,0
6625,36.0,18.55,241.35,3,16,1.0,5,35600.0,2,2,31.15,0.0,1.0,12.0,1.0,7419,72.7,22.0,0
25000,60.0,18.54,642.21,4,20,2.0,1,90000.0,1,4,18.93,0.0,1.0,11.0,1.0,4425,36.3,25.0,0
5325,36.0,21.67,202.46,4,24,3.0,5,40000.0,1,2,25.41,0.0,0.0,5.0,0.0,10931,77.5,17.0,0
16800,36.0,14.99,582.3,2,13,10.0,1,105000.0,0,1,28.59,0.0,0.0,26.0,0.0,50864,53.2,63.0,0
14000,36.0,7.89,438.0,0,4,10.0,1,157000.0,1,2,9.19,0.0,3.0,16.0,0.0,56313,7.3,22.0,0
8000,36.0,12.69,268.36,2,11,5.0,4,42000.0,2,1,25.6,0.0,1.0,12.0,1.0,7023,48.8,18.0,0
16000,60.0,15.61,385.79,3,15,7.0,5,56000.0,1,2,26.0,1.0,0.0,14.0,0.0,10173,86.2,29.0,0
10000,36.0,15.31,348.18,2,12,5.0,5,36714.0,2,2,19.84,0.0,1.0,6.0,0.0,10467,91.0,19.0,0
6000,36.0,6.68,184.39,0,2,7.0,1,44000.0,2,2,5.86,0.0,1.0,5.0,3.0,5894,37.1,14.0,0
18000,36.0,8.19,565.64,0,4,3.0,4,48000.0,2,1,8.43,0.0,0.0,5.0,0.0,18182,65.4,10.0,0
10000,36.0,11.53,329.91,1,9,2.0,5,90000.0,1,2,17.76,2.0,0.0,6.0,0.0,3914,91.0,10.0,0
6000,36.0,15.96,210.83,2,14,5.0,5,48996.0,0,9,17.59,0.0,3.0,10.0,0.0,15748,67.6,22.0,0
35000,60.0,25.69,1041.51,5,25,7.0,1,158000.0,2,2,13.12,1.0,1.0,16.0,0.0,77108,95.0,34.0,0
24000,60.0,20.49,642.42,4,23,10.0,5,72009.0,2,2,9.45,0.0,1.0,9.0,0.0,4948,16.7,22.0,0
12000,60.0,15.99,291.76,2,14,3.0,1,121000.0,1,1,18.49,0.0,0.0,18.0,0.0,62621,8.0,41.0,0
12000,36.0,7.51,373.33,0,2,5.0,5,96000.0,1,2,19.3,0.0,1.0,12.0,0.0,14625,39.6,52.0,0
35000,36.0,8.49,1104.71,1,5,4.0,1,250000.0,2,2,12.04,1.0,3.0,15.0,0.0,115811,82.0,28.0,0
20000,36.0,10.99,654.68,1,8,6.0,5,70000.0,2,9,17.95,0.0,1.0,13.0,0.0,11866,64.8,25.0,0
2500,36.0,13.11,84.37,1,8,10.0,1,75000.0,1,7,14.58,0.0,0.0,13.0,0.0,15848,74.4,43.0,0
18000,36.0,7.59,560.66,0,2,3.0,1,80000.0,0,2,25.38,0.0,2.0,17.0,0.0,25965,39.9,50.0,0
5000,60.0,10.37,107.15,1,7,10.0,1,52164.0,1,6,29.45,0.0,0.0,9.0,0.0,13477,63.6,24.0,0
32000,36.0,13.11,1079.91,1,8,10.0,1,95000.0,2,2,25.62,1.0,0.0,17.0,0.0,34046,51.7,41.0,0
18400,36.0,13.67,625.93,2,13,1.0,5,40000.0,1,1,20.4,0.0,0.0,17.0,1.0,21064,55.5,31.0,0
21000,60.0,11.44,461.22,1,8,10.0,4,50000.0,1,2,20.93,0.0,0.0,24.0,0.0,26464,24.4,45.0,0
8000,36.0,10.42,259.72,1,7,10.0,5,48000.0,1,2,8.55,0.0,0.0,11.0,1.0,8100,31.3,15.0,0
30000,60.0,10.75,648.54,1,8,10.0,1,97000.0,1,2,12.48,0.0,0.0,10.0,0.0,25045,53.4,16.0,0
5000,36.0,7.69,155.97,0,3,6.0,5,20000.0,2,2,16.51,0.0,0.0,7.0,0.0,7603,62.8,10.0,1
5000,36.0,13.35,169.32,2,11,1.0,5,14000.0,1,1,30.19,0.0,2.0,12.0,0.0,3183,44.8,15.0,0
9000,36.0,12.12,299.45,1,7,10.0,1,32500.0,0,1,12.7,0.0,0.0,10.0,0.0,10350,50.2,20.0,0
7700,36.0,11.49,253.88,1,9,6.0,1,18336.0,2,1,12.3,0.0,0.0,1.0,0.0,8892,93.6,4.0,1
2000,36.0,13.67,68.04,1,9,4.0,5,75000.0,2,6,6.9,0.0,0.0,9.0,1.0,10333,41.8,46.0,0
3100,36.0,7.49,96.42,0,3,10.0,1,33000.0,2,2,14.76,0.0,0.0,11.0,2.0,472,2.2,22.0,0
12000,36.0,7.26,371.96,0,3,3.0,1,82500.0,1,2,13.91,2.0,0.0,12.0,1.0,3942,26.3,39.0,0
5000,36.0,14.07,171.06,2,12,2.0,5,25000.0,2,2,9.31,0.0,2.0,4.0,0.0,1052,19.1,22.0,0
12000,36.0,9.17,382.55,1,6,8.0,5,41000.0,0,2,13.5,0.0,0.0,9.0,0.0,10900,44.0,20.0,0
11500,36.0,13.99,392.99,2,13,10.0,1,81000.0,2,1,16.84,1.0,2.0,15.0,1.0,16759,53.2,52.0,0
14000,36.0,17.09,499.77,3,15,5.0,5,36000.0,0,2,29.6,0.0,1.0,4.0,0.0,17304,99.0,11.0,0
19175,36.0,11.99,636.8,2,10,9.0,5,43596.0,1,2,29.87,1.0,0.0,13.0,0.0,19659,54.0,29.0,0
16000,36.0,12.29,533.65,2,10,5.0,5,76000.0,1,1,13.3,0.0,0.0,13.0,0.0,17333,88.0,19.0,0
28000,60.0,12.99,636.95,2,10,4.0,1,61000.0,1,1,21.73,2.0,1.0,17.0,0.0,26110,36.5,27.0,0
6500,36.0,12.99,218.98,2,10,10.0,5,40000.0,0,2,7.56,0.0,2.0,18.0,0.0,5416,31.1,30.0,0
8000,36.0,10.9,261.54,1,8,10.0,1,90000.0,0,1,12.09,0.0,2.0,7.0,0.0,16347,57.0,23.0,0
12000,60.0,21.49,327.96,3,19,10.0,5,177000.0,2,2,13.66,1.0,0.0,15.0,0.0,9641,40.3,29.0,0
10000,36.0,6.83,308.0,0,2,10.0,1,68000.0,0,2,13.5,0.0,0.0,12.0,1.0,11492,30.0,16.0,0
16000,36.0,7.9,500.65,0,3,7.0,1,70000.0,0,1,21.82,1.0,1.0,9.0,1.0,21442,55.1,23.0,0
12800,60.0,20.75,344.49,4,21,4.0,5,48000.0,2,9,37.4,0.0,0.0,14.0,0.0,5182,77.3,23.0,0
5500,36.0,11.14,180.43,1,6,0.0,1,48000.0,0,5,19.73,0.0,1.0,12.0,0.0,20799,58.5,33.0,0
11200,60.0,14.46,263.29,2,13,1.0,5,40000.0,2,1,22.71,0.0,0.0,10.0,0.0,7649,45.0,12.0,0
3000,36.0,13.67,102.06,2,13,9.0,5,35000.0,1,2,12.52,0.0,0.0,6.0,0.0,5855,59.1,13.0,0
16000,36.0,9.99,516.2,1,7,3.0,5,50000.0,0,1,30.8,1.0,0.0,16.0,0.0,12322,52.9,35.0,0
14000,60.0,11.86,310.44,1,9,4.0,1,218000.0,2,6,6.74,0.0,0.0,11.0,1.0,9521,35.6,16.0,0
6000,36.0,16.29,211.81,3,15,2.0,5,39000.0,1,2,27.75,0.0,1.0,6.0,0.0,3245,29.5,8.0,0
15000,60.0,14.99,356.78,2,13,6.0,1,50000.0,0,2,14.02,0.0,0.0,4.0,0.0,8050,60.1,5.0,0
20000,36.0,15.61,699.3,3,15,5.0,1,70000.0,2,2,17.11,0.0,1.0,12.0,0.0,19421,73.6,20.0,0
12000,36.0,8.38,378.15,1,5,10.0,5,35000.0,0,1,36.9,0.0,1.0,20.0,0.0,11909,36.6,40.0,0
7500,36.0,6.03,228.27,0,0,3.0,5,67000.0,1,2,16.14,0.0,0.0,10.0,0.0,7836,19.0,17.0,0
9500,36.0,5.42,286.52,0,0,10.0,1,126000.0,1,0,6.74,0.0,0.0,6.0,0.0,3902,29.1,16.0,0
35000,36.0,5.32,1054.02,0,0,4.0,1,147000.0,1,1,6.5,0.0,0.0,8.0,0.0,38675,40.1,15.0,0
8800,36.0,10.49,285.99,1,6,3.0,1,110000.0,1,4,13.5,0.0,0.0,12.0,0.0,16062,54.4,26.0,0
15000,36.0,10.99,491.01,1,7,7.0,1,52000.0,1,2,18.01,2.0,0.0,10.0,0.0,23285,71.4,13.0,0
30000,60.0,17.57,754.81,3,18,10.0,1,125000.0,1,2,26.62,0.0,1.0,11.0,0.0,84701,91.0,21.0,0
28000,36.0,6.99,864.44,0,2,5.0,1,160000.0,1,2,22.87,2.0,0.0,16.0,0.0,50801,52.4,32.0,0
7000,36.0,10.91,228.88,1,8,10.0,5,50000.0,0,2,13.06,0.0,0.0,7.0,1.0,9063,35.0,10.0,0
1200,36.0,16.55,42.52,3,16,10.0,5,30000.0,2,9,37.88,0.0,0.0,20.0,0.0,5352,31.9,28.0,0
9000,36.0,5.32,271.04,0,0,0.0,1,70000.0,1,2,7.32,0.0,1.0,11.0,0.0,9462,23.0,22.0,0
11000,60.0,21.18,298.71,4,22,3.0,5,76000.0,2,2,9.27,0.0,0.0,12.0,1.0,136,0.5,47.0,0
35000,36.0,13.49,1187.57,2,11,10.0,1,92000.0,1,2,7.89,0.0,0.0,9.0,0.0,16106,63.4,23.0,0
8400,36.0,6.11,255.97,0,0,3.0,4,50000.0,1,1,7.8,0.0,1.0,4.0,0.0,4103,17.8,34.0,0
18000,36.0,13.53,611.1,1,9,8.0,5,50000.0,0,2,17.81,0.0,2.0,12.0,0.0,16405,45.6,19.0,0
10500,36.0,12.29,350.21,2,10,7.0,5,40000.0,1,9,9.15,0.0,0.0,6.0,0.0,10848,91.9,13.0,0
16000,60.0,26.77,486.37,4,24,10.0,5,65000.0,1,9,5.39,0.0,3.0,10.0,0.0,22937,32.7,18.0,0
9100,36.0,23.13,352.88,5,26,5.0,5,55000.0,1,2,19.55,0.0,4.0,12.0,0.0,3346,18.8,15.0,0
14550,36.0,12.29,485.29,2,10,2.0,5,74400.0,0,2,6.42,0.0,0.0,3.0,0.0,13594,89.4,4.0,0
3500,36.0,8.19,109.99,0,4,10.0,1,65000.0,0,4,10.91,0.0,0.0,8.0,0.0,0,0.0,17.0,0
7900,36.0,19.19,290.35,4,22,0.0,5,22000.0,2,2,37.59,0.0,1.0,13.0,0.0,7573,54.5,16.0,0
12000,36.0,11.99,398.52,1,9,8.0,5,40000.0,1,2,36.45,0.0,0.0,11.0,3.0,14828,66.8,18.0,0
4000,36.0,8.39,126.07,1,5,10.0,1,47380.0,0,1,6.21,0.0,0.0,8.0,0.0,3644,74.4,13.0,0
10000,36.0,16.91,356.08,2,14,10.0,1,75000.0,2,5,13.44,2.0,1.0,6.0,0.0,14871,90.1,18.0,0
2000,36.0,17.99,72.3,3,16,5.0,5,75000.0,1,9,13.71,0.0,1.0,7.0,0.0,11437,69.3,14.0,0
10000,36.0,14.03,341.93,2,11,3.0,1,70000.0,0,12,22.25,0.0,2.0,25.0,0.0,32914,42.5,45.0,0
23900,36.0,14.65,824.42,2,14,0.0,5,65000.0,2,2,29.57,0.0,1.0,9.0,0.0,34891,50.1,16.0,0
14600,36.0,13.35,494.4,2,11,10.0,5,32500.0,0,0,23.71,0.0,1.0,10.0,0.0,15134,70.7,22.0,0
15000,36.0,13.33,507.8,2,12,4.0,5,30000.0,1,1,7.64,0.0,0.0,7.0,0.0,6053,44.2,13.0,0
3500,36.0,9.16,111.56,1,6,10.0,5,55000.0,1,9,28.47,0.0,0.0,6.0,0.0,3495,31.8,18.0,0
12500,36.0,11.89,414.55,1,8,10.0,1,72000.0,2,1,0.25,0.0,2.0,9.0,0.0,193,0.5,16.0,0
6500,36.0,10.99,212.78,1,7,2.0,1,70000.0,0,2,9.98,0.0,1.0,12.0,1.0,11631,65.7,31.0,0
18000,36.0,6.97,555.55,0,2,3.0,1,230000.0,1,1,22.9,0.0,0.0,20.0,0.0,171934,57.0,37.0,0
4800,36.0,13.44,162.76,2,12,2.0,5,70000.0,2,2,10.42,7.0,1.0,10.0,0.0,3385,29.4,16.0,0
9000,36.0,9.99,290.37,1,7,9.0,1,61000.0,0,2,15.17,0.0,0.0,25.0,1.0,9902,20.5,35.0,0
